Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True,,,,,
07-05-14,1.28863E-01,2.51E-06,1.000000E+00,75,0.641025641,,,,,
14-05-14,9.82964E-01,9.25E-06,9.999925E-01,1,0.008547009,,,,,
15-05-14,4.10869E-01,3.41E-05,9.999649E-01,42,0.358974359,,,,,
16-05-14,7.15747E-01,1.25E-04,9.998642E-01,18,0.153846154,,,,,
22-05-14,9.48399E-01,4.53E-04,9.994989E-01,3,0.025641026,,,,,
23-05-14,9.79383E-01,1.64E-03,9.981849E-01,1,0.008547009,,,,,
28-05-14,3.70715E-01,5.87E-03,9.934792E-01,45,0.384615385,,,,,
04-06-14,9.21236E-01,2.08E-02,9.769044E-01,2,0.017094017,,,,,
11-06-14,8.33919E-01,7.01E-02,9.217385E-01,1,0.008547009,,,,,
13-06-14,3.55766E-02,2.06E-01,2.057116E-01,2,0.017094017,,,,,
14-06-14,9.75182E-02,4.40E-01,4.404842E-01,15,0.128205128,,,,,
16-06-14,3.70478E-01,6.26E-01,6.257627E-01,2,0.017094017,,,,,
25-06-14,1.10031E-01,6.68E-01,6.682903E-01,117,1,,,,,
26-06-14,3.53031E-01,6.28E-01,6.283521E-01,4,0.034188034,,,,,
02-07-14,2.88783E-01,5.63E-01,5.630263E-01,3,0.025641026,,,,,
04-07-14,1.89654E-01,4.95E-01,4.953222E-01,7,0.05982906,,,,,
14-07-14,1.72563E-01,4.32E-01,4.325008E-01,2,0.017094017,,,,,
14-07-14,1.35304E-01,3.76E-01,3.763844E-01,1,0.008547009,,,,,
23-07-14,3.62011E-02,3.27E-01,3.270181E-01,16,0.136752137,,,,,
02-10-14,7.58115E-02,2.84E-01,2.838858E-01,1,0.008547009,,,,,
16-10-14,2.36400E-06,2.46E-01,2.463257E-01,29,0.247863248,,,,,
24-10-14,3.86442E-02,2.14E-01,2.136752E-01,2,0.017094017,,,,,
31-10-14,6.84857E-03,1.85E-01,1.853202E-01,12,0.102564103,,,,,
03-11-14,3.38091E-03,1.61E-01,1.607097E-01,12,0.102564103,,,,,
,,,,,,,,,,
