             Country,sum(un_count)
                null,         null
               China,143
        Saudi Arabia,133
              Guinea,50
             Liberia,49
        Sierra Leone,45
United Arab Emirates,29
      South Korea,23
               Qatar,15
             Nigeria,15
United States of ...,13
              Jordan,12
                Oman,9
               Congo,8
              France,7
              Mexico,6
              Brazil,6
               Niger,5
                Iran,5
         Netherlands,5
                Mali,5
              Angola,4
               Italy,4
               Spain,4
            Thailand,4
            Tanzania,4
             Senegal,3
         Philippines,3
                Iraq,3
             Germany,3
               Sudan,3
               Benin,3
              Panama,3
              Canada,3
                Chad,2
            Malaysia,2
          Madagascar,2
                Peru,2
              Kuwait,2
            Suriname,2
              Uganda,2
             Austria,2
               Egypt,2
        Burkina Faso,2
            Paraguay,1
               Yemen,1
              Sweden,1
              Turkey,1
            Cambodia,1
         Ivory Coast,1
              Greece,1
                Togo,1
             Algeria,1
           Argentina,1
               Ghana,1
Central African R...,1
          Cape Verde,1
           Venezuela,1
           Guatemala,1
             Tunisia,1
            Honduras,1
            Ethiopia,1
               Kenya,1
             Lebanon,1
               Haiti,1
             Bahrain,1
            Colombia,1
             Vietnam,1
